areaCode,areaName,areaType,date,newCasesByPublishDate
E10000034,Worcestershire,utla,2021-06-15,17
S12000013,Na h-Eileanan Siar,utla,2021-06-15,0
S12000029,South Lanarkshire,utla,2021-06-15,53
S12000045,East Dunbartonshire,utla,2021-06-15,39
W06000023,Powys,utla,2021-06-15,0
E06000003,Redcar and Cleveland,utla,2021-06-14,12
E06000014,York,utla,2021-06-14,20
E06000050,Cheshire West and Chester,utla,2021-06-14,60
E08000001,Bolton,utla,2021-06-14,109
E08000016,Barnsley,utla,2021-06-14,23
E08000031,Wolverhampton,utla,2021-06-14,19
E08000032,Bradford,utla,2021-06-14,93
E09000018,Hounslow,utla,2021-06-14,30
E09000032,Wandsworth,utla,2021-06-14,41
E09000033,Westminster,utla,2021-06-14,28
E10000034,Worcestershire,utla,2021-06-14,21
S12000013,Na h-Eileanan Siar,utla,2021-06-14,1
S12000029,South Lanarkshire,utla,2021-06-14,39
S12000045,East Dunbartonshire,utla,2021-06-14,15
W06000023,Powys,utla,2021-06-14,5
E06000003,Redcar and Cleveland,utla,2021-06-13,0
E06000014,York,utla,2021-06-13,18
E06000050,Cheshire West and Chester,utla,2021-06-13,62
E08000001,Bolton,utla,2021-06-13,100
E08000016,Barnsley,utla,2021-06-13,24
E08000031,Wolverhampton,utla,2021-06-13,14
E08000032,Bradford,utla,2021-06-13,89
E09000018,Hounslow,utla,2021-06-13,32
E09000032,Wandsworth,utla,2021-06-13,68
E09000033,Westminster,utla,2021-06-13,27
E10000034,Worcestershire,utla,2021-06-13,23
S12000013,Na h-Eileanan Siar,utla,2021-06-13,0
S12000029,South Lanarkshire,utla,2021-06-13,52
S12000045,East Dunbartonshire,utla,2021-06-13,28
W06000023,Powys,utla,2021-06-13,4
E06000003,Redcar and Cleveland,utla,2021-06-12,13
E06000014,York,utla,2021-06-12,28
E06000050,Cheshire West and Chester,utla,2021-06-12,50
E08000001,Bolton,utla,2021-06-12,134
E08000016,Barnsley,utla,2021-06-12,25
E08000031,Wolverhampton,utla,2021-06-12,13
E08000032,Bradford,utla,2021-06-12,99
E09000018,Hounslow,utla,2021-06-12,44
E09000032,Wandsworth,utla,2021-06-12,63
E09000033,Westminster,utla,2021-06-12,34
E10000034,Worcestershire,utla,2021-06-12,24
S12000013,Na h-Eileanan Siar,utla,2021-06-12,1
S12000029,South Lanarkshire,utla,2021-06-12,41
S12000045,East Dunbartonshire,utla,2021-06-12,23
W06000023,Powys,utla,2021-06-12,0
E06000003,Redcar and Cleveland,utla,2021-06-11,6
E06000014,York,utla,2021-06-11,25
E06000050,Cheshire West and Chester,utla,2021-06-11,74
E08000001,Bolton,utla,2021-06-11,137
E08000016,Barnsley,utla,2021-06-11,28
E08000031,Wolverhampton,utla,2021-06-11,11
E08000032,Bradford,utla,2021-06-11,129
E09000018,Hounslow,utla,2021-06-11,39
E09000032,Wandsworth,utla,2021-06-11,55
E09000033,Westminster,utla,2021-06-11,48
E10000034,Worcestershire,utla,2021-06-11,26
S12000013,Na h-Eileanan Siar,utla,2021-06-11,0
S12000029,South Lanarkshire,utla,2021-06-11,79
S12000045,East Dunbartonshire,utla,2021-06-11,19
W06000023,Powys,utla,2021-06-11,0
E06000003,Redcar and Cleveland,utla,2021-06-10,8
E06000014,York,utla,2021-06-10,19
E06000050,Cheshire West and Chester,utla,2021-06-10,58
E08000001,Bolton,utla,2021-06-10,103
E08000016,Barnsley,utla,2021-06-10,18
E08000031,Wolverhampton,utla,2021-06-10,23
E08000032,Bradford,utla,2021-06-10,103
E09000018,Hounslow,utla,2021-06-10,30
E09000032,Wandsworth,utla,2021-06-10,64
E09000033,Westminster,utla,2021-06-10,34
E10000034,Worcestershire,utla,2021-06-10,27
S12000013,Na h-Eileanan Siar,utla,2021-06-10,0
S12000029,South Lanarkshire,utla,2021-06-10,14
S12000045,East Dunbartonshire,utla,2021-06-10,13
W06000023,Powys,utla,2021-06-10,1
E06000003,Redcar and Cleveland,utla,2021-06-09,5
E06000014,York,utla,2021-06-09,24
E06000050,Cheshire West and Chester,utla,2021-06-09,46
E08000001,Bolton,utla,2021-06-09,133
E08000016,Barnsley,utla,2021-06-09,33
E08000031,Wolverhampton,utla,2021-06-09,15
E08000032,Bradford,utla,2021-06-09,105
E09000018,Hounslow,utla,2021-06-09,21
E09000032,Wandsworth,utla,2021-06-09,59
E09000033,Westminster,utla,2021-06-09,54
E10000034,Worcestershire,utla,2021-06-09,15
S12000013,Na h-Eileanan Siar,utla,2021-06-09,0
S12000029,South Lanarkshire,utla,2021-06-09,55
S12000045,East Dunbartonshire,utla,2021-06-09,21
W06000023,Powys,utla,2021-06-09,3
E06000003,Redcar and Cleveland,utla,2021-06-08,6
E06000014,York,utla,2021-06-08,10
E06000050,Cheshire West and Chester,utla,2021-06-08,50
E08000001,Bolton,utla,2021-06-08,127
E08000016,Barnsley,utla,2021-06-08,19
E08000031,Wolverhampton,utla,2021-06-08,24
E08000032,Bradford,utla,2021-06-08,106
E09000018,Hounslow,utla,2021-06-08,20
E09000032,Wandsworth,utla,2021-06-08,35
E09000033,Westminster,utla,2021-06-08,32
E10000034,Worcestershire,utla,2021-06-08,21
S12000013,Na h-Eileanan Siar,utla,2021-06-08,0
S12000029,South Lanarkshire,utla,2021-06-08,45
S12000045,East Dunbartonshire,utla,2021-06-08,26
W06000023,Powys,utla,2021-06-08,2
E06000003,Redcar and Cleveland,utla,2021-06-07,1
E06000014,York,utla,2021-06-07,13
E06000050,Cheshire West and Chester,utla,2021-06-07,47
E08000001,Bolton,utla,2021-06-07,114
E08000016,Barnsley,utla,2021-06-07,21
E08000031,Wolverhampton,utla,2021-06-07,18
E08000032,Bradford,utla,2021-06-07,90
E09000018,Hounslow,utla,2021-06-07,18
E09000032,Wandsworth,utla,2021-06-07,29
E09000033,Westminster,utla,2021-06-07,12
E10000034,Worcestershire,utla,2021-06-07,16
S12000013,Na h-Eileanan Siar,utla,2021-06-07,0
S12000029,South Lanarkshire,utla,2021-06-07,31
S12000045,East Dunbartonshire,utla,2021-06-07,14
W06000023,Powys,utla,2021-06-07,0
E06000003,Redcar and Cleveland,utla,2021-06-06,1
E06000014,York,utla,2021-06-06,8
E06000050,Cheshire West and Chester,utla,2021-06-06,57
E08000001,Bolton,utla,2021-06-06,120
E08000016,Barnsley,utla,2021-06-06,13
E08000031,Wolverhampton,utla,2021-06-06,15
E08000032,Bradford,utla,2021-06-06,87
E09000018,Hounslow,utla,2021-06-06,23
E09000032,Wandsworth,utla,2021-06-06,37
E09000033,Westminster,utla,2021-06-06,27
E10000034,Worcestershire,utla,2021-06-06,16
S12000013,Na h-Eileanan Siar,utla,2021-06-06,0
S12000029,South Lanarkshire,utla,2021-06-06,38
S12000045,East Dunbartonshire,utla,2021-06-06,22
W06000023,Powys,utla,2021-06-06,2
E06000003,Redcar and Cleveland,utla,2021-06-05,3
E06000014,York,utla,2021-06-05,14
E06000050,Cheshire West and Chester,utla,2021-06-05,51
E08000001,Bolton,utla,2021-06-05,171
E08000016,Barnsley,utla,2021-06-05,17
E08000031,Wolverhampton,utla,2021-06-05,8
E08000032,Bradford,utla,2021-06-05,87
E09000018,Hounslow,utla,2021-06-05,22
E09000032,Wandsworth,utla,2021-06-05,56
E09000033,Westminster,utla,2021-06-05,23
E10000034,Worcestershire,utla,2021-06-05,17
S12000013,Na h-Eileanan Siar,utla,2021-06-05,0
S12000029,South Lanarkshire,utla,2021-06-05,49
S12000045,East Dunbartonshire,utla,2021-06-05,15
W06000023,Powys,utla,2021-06-05,0
E06000003,Redcar and Cleveland,utla,2021-06-04,6
E06000014,York,utla,2021-06-04,10
E06000050,Cheshire West and Chester,utla,2021-06-04,68
E08000001,Bolton,utla,2021-06-04,135
E08000016,Barnsley,utla,2021-06-04,23
E08000031,Wolverhampton,utla,2021-06-04,13
E08000032,Bradford,utla,2021-06-04,91
E09000018,Hounslow,utla,2021-06-04,18
E09000032,Wandsworth,utla,2021-06-04,55
E09000033,Westminster,utla,2021-06-04,38
E10000034,Worcestershire,utla,2021-06-04,25
S12000013,Na h-Eileanan Siar,utla,2021-06-04,1
S12000029,South Lanarkshire,utla,2021-06-04,46
S12000045,East Dunbartonshire,utla,2021-06-04,24
W06000023,Powys,utla,2021-06-04,0
E06000003,Redcar and Cleveland,utla,2021-06-03,0
E06000014,York,utla,2021-06-03,11
E06000050,Cheshire West and Chester,utla,2021-06-03,51
E08000001,Bolton,utla,2021-06-03,117
E08000016,Barnsley,utla,2021-06-03,20
E08000031,Wolverhampton,utla,2021-06-03,11
E08000032,Bradford,utla,2021-06-03,77
E09000018,Hounslow,utla,2021-06-03,14
E09000032,Wandsworth,utla,2021-06-03,37
E09000033,Westminster,utla,2021-06-03,26
E10000034,Worcestershire,utla,2021-06-03,10
S12000013,Na h-Eileanan Siar,utla,2021-06-03,0
S12000029,South Lanarkshire,utla,2021-06-03,42
S12000045,East Dunbartonshire,utla,2021-06-03,16
W06000023,Powys,utla,2021-06-03,1
E06000003,Redcar and Cleveland,utla,2021-06-02,5
