areaCode,areaName,areaType,date,newOnsDeathsByRegistrationDate
E08000001,Bolton,utla,2021-01-01,13
E08000016,Barnsley,utla,2021-01-01,26
E08000031,Wolverhampton,utla,2021-01-01,12
E08000032,Bradford,utla,2021-01-01,22
E09000018,Hounslow,utla,2021-01-01,24
E09000032,Wandsworth,utla,2021-01-01,9
E09000033,Westminster,utla,2021-01-01,13
E10000034,Worcestershire,utla,2021-01-01,32
W06000023,Powys,utla,2021-01-01,7
E06000003,Redcar and Cleveland,utla,2020-12-25,7
E06000014,York,utla,2020-12-25,8
E06000050,Cheshire West and Chester,utla,2020-12-25,13
E08000001,Bolton,utla,2020-12-25,17
E08000016,Barnsley,utla,2020-12-25,25
E08000031,Wolverhampton,utla,2020-12-25,7
E08000032,Bradford,utla,2020-12-25,20
E09000018,Hounslow,utla,2020-12-25,11
E09000032,Wandsworth,utla,2020-12-25,13
E09000033,Westminster,utla,2020-12-25,2
E10000034,Worcestershire,utla,2020-12-25,22
W06000023,Powys,utla,2020-12-25,7
E06000003,Redcar and Cleveland,utla,2020-12-18,6
E06000014,York,utla,2020-12-18,1
E06000050,Cheshire West and Chester,utla,2020-12-18,26
E08000001,Bolton,utla,2020-12-18,20
E08000016,Barnsley,utla,2020-12-18,27
E08000031,Wolverhampton,utla,2020-12-18,13
E08000032,Bradford,utla,2020-12-18,39
E09000018,Hounslow,utla,2020-12-18,5
E09000032,Wandsworth,utla,2020-12-18,5
E09000033,Westminster,utla,2020-12-18,2
E10000034,Worcestershire,utla,2020-12-18,36
W06000023,Powys,utla,2020-12-18,5
E06000003,Redcar and Cleveland,utla,2020-12-11,6
E06000014,York,utla,2020-12-11,6
E06000050,Cheshire West and Chester,utla,2020-12-11,21
E08000001,Bolton,utla,2020-12-11,16
E08000016,Barnsley,utla,2020-12-11,25
E08000031,Wolverhampton,utla,2020-12-11,16
E08000032,Bradford,utla,2020-12-11,42
E09000018,Hounslow,utla,2020-12-11,3
E09000032,Wandsworth,utla,2020-12-11,2
E09000033,Westminster,utla,2020-12-11,4
E10000034,Worcestershire,utla,2020-12-11,22
W06000023,Powys,utla,2020-12-11,6
E06000003,Redcar and Cleveland,utla,2020-12-04,6
E06000014,York,utla,2020-12-04,10
E06000050,Cheshire West and Chester,utla,2020-12-04,20
E08000001,Bolton,utla,2020-12-04,22
E08000016,Barnsley,utla,2020-12-04,36
E08000031,Wolverhampton,utla,2020-12-04,13
E08000032,Bradford,utla,2020-12-04,46
E09000018,Hounslow,utla,2020-12-04,5
E09000032,Wandsworth,utla,2020-12-04,5
E09000033,Westminster,utla,2020-12-04,0
E10000034,Worcestershire,utla,2020-12-04,28
W06000023,Powys,utla,2020-12-04,2
E06000003,Redcar and Cleveland,utla,2020-11-27,5
E06000014,York,utla,2020-11-27,3
E06000050,Cheshire West and Chester,utla,2020-11-27,29
E08000001,Bolton,utla,2020-11-27,32
E08000016,Barnsley,utla,2020-11-27,55
E08000031,Wolverhampton,utla,2020-11-27,20
E08000032,Bradford,utla,2020-11-27,44
E09000018,Hounslow,utla,2020-11-27,6
E09000032,Wandsworth,utla,2020-11-27,4
E09000033,Westminster,utla,2020-11-27,1
E10000034,Worcestershire,utla,2020-11-27,28
W06000023,Powys,utla,2020-11-27,13
E06000003,Redcar and Cleveland,utla,2020-11-20,12
E06000014,York,utla,2020-11-20,5
E06000050,Cheshire West and Chester,utla,2020-11-20,26
E08000001,Bolton,utla,2020-11-20,28
E08000016,Barnsley,utla,2020-11-20,34
E08000031,Wolverhampton,utla,2020-11-20,6
E08000032,Bradford,utla,2020-11-20,45
E09000018,Hounslow,utla,2020-11-20,8
E09000032,Wandsworth,utla,2020-11-20,2
E09000033,Westminster,utla,2020-11-20,1
E10000034,Worcestershire,utla,2020-11-20,16
W06000023,Powys,utla,2020-11-20,8
E06000003,Redcar and Cleveland,utla,2020-11-13,12
E06000014,York,utla,2020-11-13,3
